,phrase_id,doc_id,text,lemma,numbers,cases,relations,heads,pairs,relation,head,final_number,final_case
3,343872,99883,Ludwiga Mies van der Rohe,Ludwig Mies van der Rohe,"[['sg', 'sg'], ['sg'], None, ['pl']]","[['acc', 'gen'], ['nom'], None, ['gen']]","['government', 'government', None, 'government']","['Ludwig', 'van', None, 'der']","[('Ludwiga', 'Mies'), ('Mies', 'van'), ('van', 'der'), ('der', 'Rohe')]",government,Ludwig,sg,acc
3,343872,99883,Ludwiga Mies van der Rohe,Ludwig Mies van der Rohe,"[['sg', 'sg'], ['sg'], None, ['pl']]","[['acc', 'gen'], ['nom'], None, ['gen']]","['government', 'government', None, 'government']","['Ludwig', 'van', None, 'der']","[('Ludwiga', 'Mies'), ('Mies', 'van'), ('van', 'der'), ('der', 'Rohe')]",government,Ludwig,sg,gen
7,343879,100499,samolotu PZL.23 „Karaś”,samolot PZL.23 „Karaś”,"[['sg'], ['sg.pl', 'sg', 'sg.pl', 'sg.pl', 'sg', 'sg.pl', 'sg.pl', 'sg.pl', 'sg.pl']]","[['gen'], ['inst', 'acc', 'acc', 'loc', 'nom', 'nom', 'dat', 'gen', 'voc']]","['government', 'government']","['samolot', '„Karaś”']","[('samolotu', 'PZL.23'), ('PZL.23', '„Karaś”')]",government,samolot,sg,gen
8,31843,100499,Ministerstwa Komunikacji,Ministerstwo Komunikacji,['sg'],['gen'],['agreement'],['Ministerstwo'],"[('Ministerstwa', 'Komunikacji')]",agreement,Ministerstwo,sg,gen
11,343880,100499,silnikiem Pratt-Whitney Wasp,silnik Pratt-Whitney Wasp,"[['sg'], None]","[['inst'], None]","['government', None]","['silnik', None]","[('silnikiem', 'Pratt-Whitney'), ('Pratt-Whitney', 'Wasp')]",government,silnik,sg,inst
14,31839,100499,Stanisława Praussa,Stanisław Prauss,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Stanisław'],"[('Stanisława', 'Praussa')]",agreement,Stanisław,sg,acc
14,31839,100499,Stanisława Praussa,Stanisław Prauss,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Stanisław'],"[('Stanisława', 'Praussa')]",agreement,Stanisław,sg,gen
15,343881,100499,Państwowych Zakładach Lotniczych w Warszawie,Państwowe Zakłady Lotnicze w Warszawie,"['pl', 'pl', ['pl', 'pl', 'pl'], None]","['loc', 'loc', ['acc', 'loc', 'gen'], None]","['agreement', 'agreement', 'government', None]","['Zakłady', 'Zakłady', 'Lotnicze', None]","[('Państwowych', 'Zakładach'), ('Zakładach', 'Lotniczych'), ('Lotniczych', 'w'), ('w', 'Warszawie')]",government,Lotnicze,pl,acc
15,343881,100499,Państwowych Zakładach Lotniczych w Warszawie,Państwowe Zakłady Lotnicze w Warszawie,"['pl', 'pl', ['pl', 'pl', 'pl'], None]","['loc', 'loc', ['acc', 'loc', 'gen'], None]","['agreement', 'agreement', 'government', None]","['Zakłady', 'Zakłady', 'Lotnicze', None]","[('Państwowych', 'Zakładach'), ('Zakładach', 'Lotniczych'), ('Lotniczych', 'w'), ('w', 'Warszawie')]",government,Lotnicze,pl,loc
15,343881,100499,Państwowych Zakładach Lotniczych w Warszawie,Państwowe Zakłady Lotnicze w Warszawie,"['pl', 'pl', ['pl', 'pl', 'pl'], None]","['loc', 'loc', ['acc', 'loc', 'gen'], None]","['agreement', 'agreement', 'government', None]","['Zakłady', 'Zakłady', 'Lotnicze', None]","[('Państwowych', 'Zakładach'), ('Zakładach', 'Lotniczych'), ('Lotniczych', 'w'), ('w', 'Warszawie')]",government,Lotnicze,pl,gen
16,58827,100499,Państwowych Zakładach Lotniczych,Państwowe Zakłady Lotnicze,"['pl', 'pl']","['loc', 'loc']","['agreement', 'agreement']","['Zakłady', 'Zakłady']","[('Państwowych', 'Zakładach'), ('Zakładach', 'Lotniczych')]",agreement,Zakłady,pl,loc
18,99643,100500,Trzeciego Świata,Trzeci Świat,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Świat'],"[('Trzeciego', 'Świata')]",agreement,Świat,sg,acc
18,99643,100500,Trzeciego Świata,Trzeci Świat,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Świat'],"[('Trzeciego', 'Świata')]",agreement,Świat,sg,gen
20,99633,100500,południowej Jutlandii,południowa Jutlandia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Jutlandia'],"[('południowej', 'Jutlandii')]",agreement,Jutlandia,sg,gen
20,99633,100500,południowej Jutlandii,południowa Jutlandia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Jutlandia'],"[('południowej', 'Jutlandii')]",agreement,Jutlandia,sg,loc
20,99633,100500,południowej Jutlandii,południowa Jutlandia,"[['sg', 'sg', 'sg']]","[['loc', 'dat', 'gen']]",['agreement'],['Jutlandia'],"[('południowej', 'Jutlandii')]",agreement,Jutlandia,sg,dat
24,343898,100502,województwie opolskim,województwo opolskie,['sg'],['loc'],['agreement'],['województwo'],"[('województwie', 'opolskim')]",agreement,województwo,sg,loc
25,343899,100502,powiecie kluczborskim,powiat kluczborski,['sg'],['loc'],['agreement'],['powiat'],"[('powiecie', 'kluczborskim')]",agreement,powiat,sg,loc
26,31877,100502,Carla Gotharda Langhansa,Carl Gothard Langhans,"[['sg', 'sg'], None]","[['acc', 'gen'], None]","['agreement', None]","['Carl', None]","[('Carla', 'Gotharda'), ('Gotharda', 'Langhansa')]",agreement,Carl,sg,acc
26,31877,100502,Carla Gotharda Langhansa,Carl Gothard Langhans,"[['sg', 'sg'], None]","[['acc', 'gen'], None]","['agreement', None]","['Carl', None]","[('Carla', 'Gotharda'), ('Gotharda', 'Langhansa')]",agreement,Carl,sg,gen
27,343900,100502,gminie Kluczbork,gmina Kluczbork,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Kluczbork')]",government,gmina,sg,voc
27,343900,100502,gminie Kluczbork,gmina Kluczbork,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Kluczbork')]",government,gmina,sg,loc
27,343900,100502,gminie Kluczbork,gmina Kluczbork,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Kluczbork')]",government,gmina,sg,dat
28,31880,100502,Bramy Brandenburskiej,Brama Brandenburska,['sg'],['gen'],['agreement'],['Brama'],"[('Bramy', 'Brandenburskiej')]",agreement,Brama,sg,gen
29,343904,100503,województwie mazowieckim,województwo mazowieckie,['sg'],['loc'],['agreement'],['województwo'],"[('województwie', 'mazowieckim')]",agreement,województwo,sg,loc
30,343907,100503,województwa skierniewickiego,województwo skierniewickie,['sg'],['gen'],['agreement'],['województwo'],"[('województwa', 'skierniewickiego')]",agreement,województwo,sg,gen
31,343905,100503,powiecie sochaczewskim,powiat sochaczewski,['sg'],['loc'],['agreement'],['powiat'],"[('powiecie', 'sochaczewskim')]",agreement,powiat,sg,loc
32,343906,100503,gminie Teresin,gmina Teresin,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Teresin')]",government,gmina,sg,voc
32,343906,100503,gminie Teresin,gmina Teresin,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Teresin')]",government,gmina,sg,loc
32,343906,100503,gminie Teresin,gmina Teresin,"[['sg', 'sg', 'sg']]","[['voc', 'loc', 'dat']]",['government'],['gmina'],"[('gminie', 'Teresin')]",government,gmina,sg,dat
33,31890,100504,Park im. Tadeusza Rejtana,park im. Tadeusza Rejtana,"[['sg', 'sg'], None, ['sg', 'sg']]","[['acc', 'nom'], None, ['acc', 'gen']]","['government', None, 'agreement']","['park', None, 'Tadeusza']","[('Park', 'im.'), ('im.', 'Tadeusza'), ('Tadeusza', 'Rejtana')]",government,park,sg,acc
33,31890,100504,Park im. Tadeusza Rejtana,park im. Tadeusza Rejtana,"[['sg', 'sg'], None, ['sg', 'sg']]","[['acc', 'nom'], None, ['acc', 'gen']]","['government', None, 'agreement']","['park', None, 'Tadeusza']","[('Park', 'im.'), ('im.', 'Tadeusza'), ('Tadeusza', 'Rejtana')]",government,park,sg,nom
35,32012,100504,Rady Miejskiej,Rada Miejska,['sg'],['gen'],['agreement'],['Rada'],"[('Rady', 'Miejskiej')]",agreement,Rada,sg,gen
36,31892,100504,Tadeusza Rejtana,Tadeusz Rejtan,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Tadeusz'],"[('Tadeusza', 'Rejtana')]",agreement,Tadeusz,sg,acc
36,31892,100504,Tadeusza Rejtana,Tadeusz Rejtan,"[['sg', 'sg']]","[['acc', 'gen']]",['agreement'],['Tadeusz'],"[('Tadeusza', 'Rejtana')]",agreement,Tadeusz,sg,gen
39,343916,100504,Parkiem Skrzywana,Park Skrzywana,[['sg']],[['inst']],['government'],['Park'],"[('Parkiem', 'Skrzywana')]",government,Park,sg,inst
42,343918,100505,Zachodniego Okręgu Administracyjnego,Zachodni Okręg Administracyjny,"['sg', 'sg']","['gen', 'gen']","['agreement', 'agreement']","['Okręg', 'Okręg']","[('Zachodniego', 'Okręgu'), ('Okręgu', 'Administracyjnego')]",agreement,Okręg,sg,gen
