,phrase_id,doc_id,text,lemma
3,343872,99883,Ludwiga Mies van der Rohe,Ludwig Mies van der Rohe
7,343879,100499,samolotu PZL.23 „Karaś”,samolot PZL.23 „Karaś”
8,31843,100499,Ministerstwa Komunikacji,Ministerstwo Komunikacji
11,343880,100499,silnikiem Pratt-Whitney Wasp,silnik Pratt-Whitney Wasp
14,31839,100499,Stanisława Praussa,Stanisław Prauss
15,343881,100499,Państwowych Zakładach Lotniczych w Warszawie,Państwowe Zakłady Lotnicze w Warszawie
16,58827,100499,Państwowych Zakładach Lotniczych,Państwowe Zakłady Lotnicze
18,99643,100500,Trzeciego Świata,Trzeci Świat
20,99633,100500,południowej Jutlandii,południowa Jutlandia
24,343898,100502,województwie opolskim,województwo opolskie
25,343899,100502,powiecie kluczborskim,powiat kluczborski
26,31877,100502,Carla Gotharda Langhansa,Carl Gothard Langhans
27,343900,100502,gminie Kluczbork,gmina Kluczbork
28,31880,100502,Bramy Brandenburskiej,Brama Brandenburska
29,343904,100503,województwie mazowieckim,województwo mazowieckie
30,343907,100503,województwa skierniewickiego,województwo skierniewickie
31,343905,100503,powiecie sochaczewskim,powiat sochaczewski
32,343906,100503,gminie Teresin,gmina Teresin
33,31890,100504,Park im. Tadeusza Rejtana,park im. Tadeusza Rejtana
35,32012,100504,Rady Miejskiej,Rada Miejska
36,31892,100504,Tadeusza Rejtana,Tadeusz Rejtan
39,343916,100504,Parkiem Skrzywana,Park Skrzywana
42,343918,100505,Zachodniego Okręgu Administracyjnego,Zachodni Okręg Administracyjny
43,343922,100505,portu lotniczego Wnukowo,port lotniczy Wnukowo
50,343936,100508,gminie Roeser,gmina Roeser
52,343940,100509,Katedrze Prawa Cywilnego na KUL,Katedra Prawa Cywilnego na KUL
53,32016,100509,Katedrze Prawa Cywilnego,Katedra Prawa Cywilnego
54,294199,100509,Wydziale Prawniczym Katolickiego Uniwersytetu Lubelskiego,Wydział Prawniczy Katolickiego Uniwersytetu Lubelskiego
55,31943,100509,Wyborczej Akcji Katolickiej,Wyborcza Akcja Katolicka
56,31940,100509,Wydziale Prawniczym,Wydział Prawniczy
57,343941,100509,Zjednoczeniu Chrześcijańsko-Narodowym,Zjednoczenie Chrześcijańsko-Narodowe
58,31941,100509,Katolickiego Uniwersytetu Lubelskiego,Katolicki Uniwersytet Lubelski
59,31944,100509,Akcji Wyborczej Solidarność,Akcja Wyborcza Solidarność
61,31945,100509,Ligi Polskich Rodzin,Liga Polskich Rodzin
63,343947,100510,archipelagu Tuvalu,archipelag Tuvalu
64,31954,100511,Stadion Punjab,stadion Punjab
67,343965,100513,rejencji Szwabia,rejencja Szwabia
68,343966,100513,powiecie Unterallgäu,powiat Unterallgäu
69,343967,100513,wspólnocie administracyjnej Dirlewang,wspólnota administracyjna Dirlewang
71,31992,100514,Ligi Mistrzów,Liga Mistrzów
74,343976,100515,gminy Rabós,gmina Rabós
77,343978,100515,prowincji Girona,prowincja Girona
80,343985,100516,piłce nożnej,piłka nożna
81,343983,100516,pucharu kraju,puchar kraju
88,32024,100518,Juliusza Słowackiego,Juliusz Słowacki
89,343992,100518,herbu Bawół,herb Bawół
90,308982,100518,Pana Tadeusza,Pan Tadeusz
91,343999,100518,niemieckiego rycerstwa Mieczowców,niemieckie rycerstwo Mieczowców
93,32031,100518,Kawalerami Mieczowymi,Kawaler Mieczowy
94,32053,100519,szpitalu Dzieciątka Jezus,szpital Dzieciątka Jezus
95,344002,100519,Placu Powstańców Warszawy,Plac Powstańców Warszawy
96,52993,100519,św. Wincentego,św. Wincent
98,32789,100520,VI pielgrzymkę Ojca Świętego Jana Pawła II do Polski,VI pielgrzymka Ojca Świętego Jana Pawła II do Polski
99,58829,100520,parafii Mariackiej,parafia Mariackia
101,32092,100520,Wigilijnego Dzieła Pomocy Dzieciom,Wigilijne Dzieło Pomocy Dzieciom
102,32705,100520,Jana Pawła II,Jan Paweł II
104,344009,100520,Wyższym Seminarium Duchownym Diecezji Koszalińsko-Kołobrzeskiej w Koszalinie,Wyższe Seminarium Duchowne Diecezji Koszalińsko-Kołobrzeskiej w Koszalinie
105,344011,100520,Biura Konferencji Episkopatów Unii Europejskiej w Brukseli,Biuro Konferencji Episkopatów Unii Europejskiej w Brukseli
106,344008,100520,Papieskim Uniwersytecie Salezjańskim w Rzymie,Papieski Uniwersytet Salezjański w Rzymie
107,32097,100520,Papieskim Uniwersytecie Salezjańskim,Papieski Uniwersytet Salezjański
108,32699,100520,Ignacego Jeża,Ignacy Jeży
109,32702,100520,Diecezji Koszalińsko-Kołobrzeskiej,diecezja Koszalińsko-Kołobrzeska
110,58831,100520,Komisji Charytatywnej,Komisja Charytatywna
111,344012,100520,diecezji pw. św. Maksymiliana Marii Kolbe w Słupsku,diecezja pw. św. Maksymiliana Marii Kolbe w Słupsku
113,310741,100520,Konferencji Episkopatu Polski,Konferencja Episkopatu Polski
114,32712,100520,Maksymiliana Marii Kolbe,Maksymilian Maria Kolbe
116,32078,100520,IV Pielgrzymkę do Ojczyzny,IV Pielgrzymka do Ojczyzny
118,32698,100520,diecezji koszalińsko-kołobrzeskiej,diecezja koszalińsko-kołobrzeska
121,32161,100521,Bezkresnego Imperium,Bezkresne Imperium
122,344020,100521,planety Rakatan,planeta Rakatan
123,344019,100521,"grze komputerowej ""Star Wars: Knights of the Old Republic",gra komputerowa Star Wars: Knights of the Old Republic
124,304463,100521,Gwiezdnych wojen,Gwiezdne wojny
126,32169,100521,Wojen mandaloriańskich,wojny mandaloriańskie
129,32170,100521,Republiki Galaktycznej,Republika Galaktyczna
130,32171,100521,Wojny domowej Jedi,wojna domowa Jedi
131,32164,100521,Gwiezdnej Kuźni,Gwiezdna Kuźnia
132,344021,100521,mieszkańców Wszechświata,mieszkańcy Wszechświata
135,344024,100522,Victorii Racibórz,Victoria Racibórz
137,305857,100522,Pucharu Europy w Lekkoatletyce,Puchar Europy w Lekkoatletyce
140,32183,100522,Strzelcach Opolskich,Strzelce Opolskie
143,309612,100523,Wambierzyckiej Królowej Rodzin,Wambierzycka Królowa Rodzin
147,305858,100523,wojny trzydziestoletniej,wojna trzydziestoletnia
148,344031,100523,bazyliki mniejszej,bazylika mniejsza
149,344034,100523,hrabiego Franciszka Antoniego von Goetzen,hrabia Franciszek Antoni von Goetzen
150,32847,100523,Franciszka Antoniego von Goetzen,Franciszek Antoni von Goetzen
151,309617,100523,Matki Bożej,Matka Boża
153,309614,100523,Matki Boskiej,Matka Boska
155,99703,100524,Józefa Stalina,Józef Stalin
156,99710,100524,prospektem Kutuzowa,prospekt Kutuzowa
158,99704,100524,Leonida Breżniewa,Leonid Breżniew
159,99705,100524,Borysa Jelcyna,Borys Jelcyn
163,344046,100525,Pucharu Świata,Puchar Świata
164,344045,100525,mistrzostwach świata w 2001 w Lahti,mistrzostwa świata w 2001 w Lahti
165,344043,100525,Zimowych Igrzyskach Olimpijskich 2002 w Salt Lake City,Zimowe Igrzyska Olimpijskie 2002 w Salt Lake City
166,32748,100525,Zimowych Igrzyskach Olimpijskich,Zimowe Igrzyska Olimpijskie
172,344051,100526,Piotra I,Piotr I
177,32347,100526,Sankt Petersburgu,Sankt Petersburg
184,345762,100527,archipelagu Seszeli,archipelag Seszele
185,345763,100527,Wysp Wewnętrznych,Wyspy Wewnętrzne
192,32384,100529,Marka K. Zalejskiego,Marek K. Zalejski
194,345779,100529,wydarzeń kulturalnych,wydarzenia kulturalne
197,32844,100529,Adama Mickiewicza,Adam Mickiewicz
198,345777,100529,Moniką Rencławowicz,Monika Rencławowicz
201,345784,100530,linii Vermelha,linia Vermelha
202,348816,100531,Bon komunalny,bon komunalny
203,348817,100531,instrumentem dyskontowym,instrument dyskontowy
204,348821,100531,bony skarbowe,bon skarbowy
205,348819,100531,gminę Radom,gmina Radom
206,348818,100531,lokat międzybankowych,lokata międzybankowa
208,348827,100532,pekińskich mistrzostw świata juniorów,pekińskie mistrzostwa świata juniorów
209,348829,100532,mistrzostw świata kadetów,mistrzostwa świata kadetów
211,348826,100532,Europejskiego Festiwalu Młodzieży,Europejski Festiwal Młodzieży
212,348824,100532,rzucie dyskiem,rzut dyskiem
213,348825,100532,pchnięciu kulą,pchnięcie kulą
217,348841,100534,Federacji Bośni i Hercegowiny,Federacja Bośni i Hercegowiny
218,127497,100534,Bośni i Hercegowiny,Bośnia i Hercegowina
219,348842,100534,Bośni i Hercegowinie,Bośnia i Hercegowina
225,348858,100536,Komitetu ds. Produktów Leczniczych Stosowanych u Ludzi (CHMP),Komitet ds. Produktów Leczniczych Stosowanych u Ludzi [CHMP]
226,32437,100536,Komitetu ds. Produktów Leczniczych Stosowanych u Ludzi,Komitet ds. Produktów Leczniczych Stosowanych u Ludzi
